拐枣,"[13.63, 13.63, 13.53, 13.76, 13.39, 13.04, 13.61, 13.87, 13.64, 14.04, 15.01, 15.13, 14.55, 15.1, 17.52, 17.41, 16.48, 16.6, 14.84, 14.18, 14.18, 14.47, 13.35, 14.56, 14.59, 14.61, 14.45, 14.49, 13.8, 14.15, 14.93]"
沙棘果,"[17.68, 18.37, 20.26, 21.41, 21.77, 25.3, 23.4, 23.9, 23.95, 20.28, 20.28, 22.28, 20.54, 19.18, 18.47, 19.42, 19.33, 21.01, 22.23, 22.27, 20.46, 20.39, 20.39, 24.69, 23.1, 19.9, 19.9, 19.9, 15.57, 23.82, 23.82]"
灯笼果,"[23.42, 19.53, 13.58, 20, 16.67, 16.67, 16.67, 13.33, 13.33, 13.33, 14.17, 25.08, 25.08, 20.87, 10, 10, 10, 10, 20.87, 13.33, 13.33, 9.67, 9.67, 9.67, 9.67, 9.67, 13.33, 13.33, 13.33, 13.33, 9.67]"
仙人掌果,"[27.33, 26.42, 10.63, 11.08, 12, 10.03, 10.03, 10.03, 9.55, 7.65, 9.83, 8.66, 9.25, 8.85, 8.85, 8.48, 7.23, 6.38, 6.59, 7.08, 6.59, 7.31, 8.12, 9.58, 6.51, 5.1, 4.6, 7.33, 7.6, 7.4, 8]"
桑葚,"[13.31, 13.19, 13.48, 13.06, 14.51, 14.88, 12.55, 11.91, 12.49, 12.07, 12.5, 14.27, 14.8, 15.42, 14.91, 14.77, 14.81, 15.36, 15.77, 16.66, 15.38, 14.51, 14.96, 17.09, 18.38, 18.09, 16.99, 17.11, 14.35, 15.52, 15.74]"
无花果,"[16.05, 16.05, 23.88, 23.88, 23.88, 23.88, 19.08, 19.08, 19.08, 19.08, 19.08, 30.95, 30.95, 30.95, 30.95, 28.4, 28.4, 28.4, 18.6, 23.57, 23.57, 23.57, 23.57, 23.57, 23.57, 23.57, 23.57, 23.57, 18.6, 18.6, 18.6]"
柿子,"[1.2, 1.04, 1.04, 0.8, 1, 1.36, 3.83, 1.21, 1.21, 0.8, 1.23, 0.8, 0.8, 0.8, 1.1, 1.1, 1.46, 3.8, 3.8, 3.8, 1.08, 1.08, 1, 1, 1, 1, 0.99, 0.99, 0.93, 0.99, 0.99]"
猕猴桃,"[4.83, 4.8, 4.73, 4.73, 4.35, 5.3, 4.92, 25.31, 21.48, 27.48, 5.17, 5.39, 5.09, 5.19, 5.48, 10.05, 10.14, 11.04, 37.48, 37.48, 20.39, 4.61, 4.75, 4.61, 5.52, 22.16, 17.16, 36.57, 42.5, 30.48, 6.97]"
蓝莓,"[33.25, 34.33, 20, 30, 30, 29.17, 27.5, 24, 24.33, 22.75, 22.75, 23.25, 24.88, 26, 23.25, 23.25, 18.33, 15.75, 15, 20, 20, 18.75, 11.67, 11.67, 15, 15, 15, 15, 15, 13.5, 13.5]"
草莓,"[15, 11, 11, 11, 11, 20.5, 20.5, 20.5, 20.5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 5.38, 6.6, 8.25, 6.17, 4.82]"
圣女果,"[5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5, 3.87, 4.04, 3.96, 2.29, 2.92, 2.28, 2.28, 2.27, 2.27, 2.26, 7.75, 4.19, 4.19, 2.26, 5.5, 5.5, 1.69, 1.69, 1.69, 10, 2.17, 2.26, 1.74, 2.12]"
葡萄,"[3.04, 3.04, 3.04, 14.59, 2.5, 2.5, 9.23, 15, 5.16, 2.56, 6, 2.56, 6.5, 6.5, 6.5, 6.5, 5.23, 5.23, 5.23, 2.51, 98.66, 3.38, 55.33, 12, 6.71, 14.43, 14.65, 13.78, 8, 55.33, 98.66]"
木奶果,"[27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 19.5, 19.5, 19.5, 19.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 27.5, 24.33, 24.33, 24.33, 24.33, 30, 27.5, 27.5]"
牛奶果,"[7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
诺丽果,"[1.05, 1.05, 1, 1, 1, 1, 1, 1, 1.05, 1.05, 1.05, 1.2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.03, 1.1, 1.1, 3.08, 3.08, 3.08, 3.08, 1, 1, 1]"
人心果,"[25.58, 25.58, 25.58, 5.66, 5.66, 5.66, 5.66, 5.66, 25.58, 25.58, 25.58, 25.58, 25.58, 45.5, 25.58, 25.58, 25.58, 25.58, 25.58, 25.58, 25.58, 25.58, 25.58, 25.58, 3.83, 5.66, 5.66, 5, 5, 5, 5]"
牛柑果,"[4.35, 4.35, 4.35, 4.35, 4.35, 4.35, 4.35, 4.35, 4.35, 4.3, 4.3, 4.3, 4.3, 4.77, 5.5, 5.1, 5.1, 4.92, 4.83, 4.83, 5, 5, 5, 5.17, 5.17, 5.17, 5.17, 5.3, 7, 5.88, 5.63]"
