type,price,date
山楂,2.46,2019-11-14
李子报价,14,2019-11-14
车厘子报价,37.86,2019-11-14
水蜜桃,3.15,2019-11-14
杨梅,10.5,2019-11-14
枇杷报价,15.56,2019-11-14
荔枝,35.32,2019-11-14
龙眼,32.93,2019-11-14
椰子,3.55,2019-11-14
樱桃,37.86,2019-11-14
蓝莓报价,47.03,2019-11-14
金桔,9.75,2019-11-14
柿子,1.66,2019-11-14
猕猴桃报价,9.71,2019-11-12
青枣报价,2.47,2019-11-12
木瓜,10.96,2019-11-12
哈密瓜,1.96,2019-11-12
菠萝,1.17,2019-11-12
蜜桔,3.5,2019-11-12
鸭梨报价,2.1,2019-11-12
芒果,3.91,2019-11-12
梨,1.31,2019-11-12
毛桃,1.86,2019-11-12
草莓报价,11.69,2019-11-12
脐橙报价,2.46,2019-11-12
红提子,25,2019-11-12
甘蔗,0.59,2019-11-12
金丝枣报价,16,2019-11-12
柑橘,2.67,2019-11-12
柚子,1.86,2019-11-12
西瓜报价,0.74,2019-11-12
柠檬,3.49,2019-11-12
香蕉,2.06,2019-11-12
石榴,7.95,2019-11-12
苹果,2.55,2019-11-12
山楂,2.22,2019-11-12
李子报价,6.32,2019-11-12
车厘子报价,40.4,2019-11-12
水蜜桃,3.24,2019-11-12
金桔,8.33,2019-11-12
葡萄,3.98,2019-11-12
龙眼,36.9,2019-11-12
椰子,3.87,2019-11-12
荔枝,27.99,2019-11-12
杨梅,10.5,2019-11-12
樱桃,40.4,2019-11-12
蓝莓报价,47.33,2019-11-12
枇杷报价,15.78,2019-11-12
柿子,1.49,2019-11-12
哈密瓜,2.14,2019-11-6
菠萝,1.01,2019-11-6
蜜桔,3.5,2019-11-6
鸭梨报价,2.1,2019-11-6
猕猴桃报价,9.94,2019-11-6
芒果,4.04,2019-11-6
木瓜,12.35,2019-11-6
柠檬,3.69,2019-11-6
金丝枣报价,16,2019-11-6
梨,1.28,2019-11-6
毛桃,3.35,2019-11-6
红提子,25,2019-11-6
草莓报价,11.73,2019-11-6
脐橙报价,2.67,2019-11-6
甘蔗,0.65,2019-11-6
柑橘,2.83,2019-11-6
柚子,1.81,2019-11-6
西瓜报价,0.8,2019-11-6
苹果,2.66,2019-11-6
葡萄,3.86,2019-11-6
香蕉,1.84,2019-11-6
石榴,8.68,2019-11-6
山楂,2.47,2019-11-6
李子报价,7.02,2019-11-6
车厘子报价,40.4,2019-11-6
水蜜桃,3.3,2019-11-6
杨梅,10.5,2019-11-6
金桔,8.08,2019-11-6
枇杷报价,13.97,2019-11-6
荔枝,35.32,2019-11-6
龙眼,43.8,2019-11-6
椰子,3.87,2019-11-6
樱桃,40.4,2019-11-6
蓝莓报价,47.6,2019-11-6
木瓜,12.49,2019-11-5
菠萝,1.01,2019-11-5
蜜桔,4,2019-11-5
鸭梨报价,3.4,2019-11-5
猕猴桃报价,9.4,2019-11-5
芒果,4.11,2019-11-5
哈密瓜,2.31,2019-11-5
柠檬,3.74,2019-11-5
金丝枣报价,16,2019-11-5
脐橙报价,2.65,2019-11-5
柿子,1.4,2019-11-6
梨,1.28,2019-11-5
青枣报价,2.6,2019-11-5
红提子,25,2019-11-5
草莓报价,9.59,2019-11-5
毛桃,3.78,2019-11-5
甘蔗,0.64,2019-11-5
柑橘,2.91,2019-11-5
柚子,1.81,2019-11-5
西瓜报价,0.85,2019-11-5
苹果,2.56,2019-11-5
葡萄,3.76,2019-11-5
石榴,8.75,2019-11-5
山楂,2.44,2019-11-5
香蕉,2.1,2019-11-5
李子报价,7.23,2019-11-5
车厘子报价,40.4,2019-11-5
水蜜桃,3.05,2019-11-5
金桔,7.31,2019-11-5
杨梅,10.5,2019-11-5
枇杷报价,17.43,2019-11-5
荔枝,25.19,2019-11-5
龙眼,43.4,2019-11-5
椰子,3.87,2019-11-5
樱桃,40.4,2019-11-5
蓝莓报价,47.6,2019-11-5
柿子,1.4,2019-11-5
榴莲报价,37.1,2019-11-7
榴莲报价,37.25,2019-11-11
榴莲报价,33.19,2019-11-14
榴莲报价,34.09,2019-11-12
榴莲报价,36.23,2019-11-6
芒果,3.98,2019-11-8
柠檬,3.62,2019-11-8
梨,1.15,2019-11-8
脐橙报价,2.53,2019-11-8
红提子,25,2019-11-8
毛桃,2.6,2019-11-8
金丝枣报价,16,2019-11-8
柚子,1.74,2019-11-8
榴莲报价,29.12,2019-11-5
草莓报价,11.19,2019-11-8
甘蔗,0.67,2019-11-8
西瓜报价,0.82,2019-11-8
柑橘,2.59,2019-11-8
苹果,2.64,2019-11-8
葡萄,3.89,2019-11-8
香蕉,2.29,2019-11-8
山楂,2.49,2019-11-8
石榴,8.27,2019-11-8
李子报价,10.23,2019-11-8
车厘子报价,40.4,2019-11-8
杨梅,10.5,2019-11-8
金桔,7.79,2019-11-8
枇杷报价,15.99,2019-11-8
龙眼,43.8,2019-11-8
荔枝,28.74,2019-11-8
椰子,3.53,2019-11-8
樱桃,40.4,2019-11-8
水蜜桃,2.86,2019-11-8
蓝莓报价,47.17,2019-11-8
柿子,1.54,2019-11-8
青枣报价,2.5,2019-11-13
木瓜,10.6,2019-11-13
哈密瓜,2.03,2019-11-13
菠萝,0.96,2019-11-13
蜜桔,3.9,2019-11-13
鸭梨报价,2.1,2019-11-13
猕猴桃报价,9.36,2019-11-13
芒果,3.84,2019-11-13
柠檬,3.41,2019-11-13
金丝枣报价,16,2019-11-13
脐橙报价,2.53,2019-11-13
梨,1.28,2019-11-13
甘蔗,0.6,2019-11-13
毛桃,2.03,2019-11-13
草莓报价,12.57,2019-11-13
红提子,25,2019-11-13
柑橘,2.69,2019-11-13
柚子,1.81,2019-11-13
西瓜报价,0.77,2019-11-13
苹果,2.52,2019-11-13
葡萄,4.03,2019-11-13
山楂,2.39,2019-11-13
香蕉,2.05,2019-11-13
李子报价,11.66,2019-11-13
石榴,8.56,2019-11-13
车厘子报价,39.4,2019-11-13
水蜜桃,3.32,2019-11-13
金桔,9.13,2019-11-13
枇杷报价,16.52,2019-11-13
龙眼,32.93,2019-11-13
椰子,3.87,2019-11-13
樱桃,39.4,2019-11-13
蓝莓报价,47.03,2019-11-13
柿子,1.66,2019-11-13
榴莲报价,36.44,2019-11-13
柠檬,3.41,2019-12-31
金丝枣报价,9,2019-12-31
杨梅,10.5,2019-11-13
荔枝,27.99,2019-11-13
脐橙报价,2.53,2019-12-31
梨,1.63,2019-12-31
柑橘,2.55,2019-12-31
红提子,25,2019-12-31
毛桃,3.7,2019-12-31
柚子,1.86,2019-12-31
草莓报价,18.73,2019-12-31
甘蔗,0.8,2019-12-31
西瓜报价,1.15,2019-12-31
苹果,5.41,2019-12-31
葡萄,6.38,2019-12-31
香蕉,2.89,2019-12-31
山楂,5.45,2019-12-31
石榴,9.24,2019-12-31
李子报价,6.3,2019-12-31
车厘子报价,32.94,2019-12-31
杨梅,10.5,2019-12-31
金桔,7.41,2019-12-31
龙眼,16,2019-12-31
椰子,12.98,2019-12-31
樱桃,32.94,2019-12-31
水蜜桃,4.85,2019-12-31
蓝莓报价,42.1,2019-12-31
柿子,2.98,2019-12-31
枇杷报价,13.26,2019-12-31
荔枝,18.44,2019-12-31
榴莲报价,17.9,2019-12-31
榴莲报价,31.39,2019-1-3
木瓜,4.89,2019-1-14
哈密瓜,2.27,2019-1-14
葡萄,5.31,2019-1-14
菠萝,1.96,2019-1-14
柑橘,2.71,2019-1-14
梨,1.37,2019-1-14
猕猴桃报价,10.31,2019-1-14
芒果,6.25,2019-1-14
榴莲报价,32.53,2019-1-2
榴莲报价,33.03,2019-1-24
榴莲报价,35.12,2019-1-23
榴莲报价,35.4,2019-1-22
榴莲报价,34.29,2019-1-21
榴莲报价,33.6,2019-1-18
榴莲报价,29.67,2019-1-17
榴莲报价,31.28,2019-1-16
哈密瓜,2.15,2019-2-1
菠萝,1.69,2019-2-1
葡萄,5.62,2019-2-1
柑橘,2.55,2019-2-1
梨,1.37,2019-2-1
猕猴桃报价,9.95,2019-2-1
木瓜,7.33,2019-1-25
哈密瓜,1.94,2019-1-25
菠萝,1.39,2019-1-25
葡萄,5.9,2019-1-25
柑橘,2.56,2019-1-25
梨,1.4,2019-1-25
猕猴桃报价,10.48,2019-1-25
木瓜,4.85,2019-2-1
芒果,5.76,2019-1-25
甘蔗,0.71,2019-2-1
芒果,6.61,2019-2-1
柠檬,3.57,2019-1-25
柠檬,3.44,2019-2-1
红提子,32,2019-2-1
毛桃,5.71,2019-2-1
柚子,1.66,2019-2-1
西瓜报价,1.17,2019-2-1
苹果,2.44,2019-2-1
香蕉,1.97,2019-2-1
脐橙报价,2.48,2019-2-1
金丝枣报价,6.2,2019-2-1
鸭梨报价,6.7,2019-2-1
草莓报价,11.92,2019-2-1
蜜桔,4,2019-2-1
青枣报价,2.7,2019-2-1
石榴,8.38,2019-2-1
山楂,3.12,2019-2-1
车厘子报价,56.75,2019-2-1
水蜜桃,6.51,2019-2-1
杨梅,16,2019-2-1
金桔,5.07,2019-2-1
枇杷报价,19.39,2019-2-1
龙眼,23.45,2019-2-1
椰子,5.74,2019-2-1
樱桃,56.75,2019-2-1
柿子,6.92,2019-2-1
木瓜,4.79,2019-1-30
哈密瓜,2.11,2019-1-30
菠萝,1.64,2019-1-30
葡萄,5.65,2019-1-30
李子报价,13.9,2019-2-1
蓝莓报价,35.64,2019-2-1
柑橘,2.52,2019-1-30
梨,1.35,2019-1-30
荔枝,15.1,2019-2-1
猕猴桃报价,10.25,2019-1-30
柠檬,3.29,2019-1-30
芒果,6.5,2019-1-30
草莓报价,11.71,2019-1-30
甘蔗,0.7,2019-1-30
柚子,1.63,2019-1-30
西瓜报价,1.23,2019-1-30
红提子,32,2019-1-30
苹果,2.45,2019-1-30
香蕉,2.1,2019-1-30
毛桃,5.46,2019-1-30
脐橙报价,2.44,2019-1-30
金丝枣报价,6.2,2019-1-30
鸭梨报价,6.2,2019-1-30
蜜桔,4,2019-1-30
青枣报价,2.65,2019-1-30
山楂,3.02,2019-1-30
石榴,7.42,2019-1-30
李子报价,13.56,2019-1-30
杨梅,16,2019-1-30
金桔,5.51,2019-1-30
枇杷报价,18.99,2019-1-30
荔枝,14.78,2019-1-30
龙眼,28.97,2019-1-30
车厘子报价,44.97,2019-1-30
水蜜桃,6.88,2019-1-30
椰子,6.11,2019-1-30
菠萝,1.57,2019-1-31
葡萄,5.59,2019-1-31
樱桃,44.97,2019-1-30
蓝莓报价,31.82,2019-1-30
木瓜,5.3,2019-1-31
柿子,9.77,2019-1-30
哈密瓜,2.26,2019-1-31
柑橘,2.53,2019-1-31
猕猴桃报价,10.23,2019-1-31
芒果,6.32,2019-1-31
红提子,32,2019-1-31
毛桃,5.9,2019-1-31
甘蔗,0.7,2019-1-31
梨,1.36,2019-1-31
柚子,1.7,2019-1-31
西瓜报价,1.19,2019-1-31
苹果,2.42,2019-1-31
脐橙报价,2.44,2019-1-31
香蕉,2.1,2019-1-31
鸭梨报价,6.7,2019-1-31
蜜桔,4,2019-1-31
青枣报价,2.54,2019-1-31
山楂,3.08,2019-1-31
石榴,8.48,2019-1-31
柠檬,3.28,2019-1-31
草莓报价,11.31,2019-1-31
李子报价,12.82,2019-1-31
枇杷报价,18.05,2019-1-31
金丝枣报价,6.2,2019-1-31
杨梅,16,2019-1-31
水蜜桃,7.09,2019-1-31
荔枝,14.09,2019-1-31
龙眼,28.97,2019-1-31
车厘子报价,54.54,2019-1-31
椰子,5.72,2019-1-31
樱桃,54.54,2019-1-31
蓝莓报价,34.44,2019-1-31
木瓜,4.28,2019-1-29
哈密瓜,2.07,2019-1-29
菠萝,1.53,2019-1-29
葡萄,5.57,2019-1-29
柑橘,2.55,2019-1-29
金桔,5.22,2019-1-31
梨,1.42,2019-1-29
猕猴桃报价,10.53,2019-1-29
柠檬,3.33,2019-1-29
红提子,32,2019-1-29
毛桃,4.39,2019-1-29
柿子,6.89,2019-1-31
草莓报价,11.91,2019-1-29
甘蔗,0.69,2019-1-29
柚子,1.71,2019-1-29
西瓜报价,1.31,2019-1-29
苹果,2.4,2019-1-29
脐橙报价,2.4,2019-1-29
香蕉,2.21,2019-1-29
鸭梨报价,6.2,2019-1-29
金丝枣报价,6.2,2019-1-29
蜜桔,4,2019-1-29
车厘子报价,41.66,2019-1-29
杨梅,16,2019-1-29
石榴,7.35,2019-1-29
山楂,3,2019-1-29
李子报价,14.39,2019-1-29
龙眼,28.97,2019-1-29
椰子,5.94,2019-1-29
枇杷报价,19.15,2019-1-29
芒果,6.67,2019-1-29
荔枝,15.44,2019-1-29
水蜜桃,6.44,2019-1-29
樱桃,41.66,2019-1-29
蓝莓报价,33.92,2019-1-29
金桔,5.47,2019-1-29
青枣报价,2.5,2019-1-29
木瓜,4.39,2019-1-28
柿子,7.85,2019-1-29
哈密瓜,2.09,2019-1-28
菠萝,1.48,2019-1-28
葡萄,5.97,2019-1-28
柑橘,2.59,2019-1-28
梨,1.41,2019-1-28
猕猴桃报价,11.25,2019-1-28
芒果,7.09,2019-1-28
柠檬,3.3,2019-1-28
红提子,32,2019-1-28
毛桃,4.19,2019-1-28
草莓报价,12.16,2019-1-28
甘蔗,0.69,2019-1-28
柚子,1.8,2019-1-28
西瓜报价,1.39,2019-1-28
香蕉,2.29,2019-1-28
苹果,2.37,2019-1-28
脐橙报价,2.39,2019-1-28
金丝枣报价,6.6,2019-1-28
车厘子报价,39.54,2019-1-28
鸭梨报价,5.5,2019-1-28
蜜桔,4.6,2019-1-28
青枣报价,2.44,2019-1-28
石榴,7.16,2019-1-28
水蜜桃,6.14,2019-1-28
山楂,3.07,2019-1-28
李子报价,12.61,2019-1-28
杨梅,16,2019-1-28
金桔,6.09,2019-1-28
枇杷报价,18.46,2019-1-28
荔枝,14.34,2019-1-28
龙眼,28.97,2019-1-28
椰子,6.06,2019-1-28
樱桃,39.54,2019-1-28
蓝莓报价,34.86,2019-1-28
柿子,6.32,2019-1-28
红提子,32,2019-1-25
毛桃,4.04,2019-1-25
草莓报价,12.44,2019-1-25
甘蔗,0.69,2019-1-25
柚子,1.78,2019-1-25
西瓜报价,1.47,2019-1-25
苹果,2.38,2019-1-25
香蕉,2.19,2019-1-25
脐橙报价,2.44,2019-1-25
金丝枣报价,6.4,2019-1-25
鸭梨报价,5.8,2019-1-25
蜜桔,4,2019-1-25
青枣报价,2.84,2019-1-25
石榴,8.12,2019-1-25
山楂,3.1,2019-1-25
李子报价,11.41,2019-1-25
车厘子报价,33.42,2019-1-25
